"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","주당평균수업시수(교사 1인당)","주당수업시수","수업교원수"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001400","수리초등학교","02","공립","N","","190","190","190","190","190","190","19.8","237","12"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001401","신흥초등학교","02","공립","N","","190","190","190","190","190","190","20.7","394","19"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001403","오금초등학교","02","공립","N","","190","190","190","190","190","190","20.6","330","16"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001404","오전초등학교","02","공립","N","","190","190","190","190","190","190","19.5","312","16"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001405","왕곡초등학교","02","공립","N","","190","190","190","190","190","190","20.3","406","20"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001406","용호초등학교","02","공립","N","","190","190","190","190","190","190","19.9","338","17"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001407","의왕덕성초등학교","02","공립","N","","190","190","190","190","190","190","21.6","952","44"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001408","의왕부곡초등학교","02","공립","N","","190","190","190","190","190","190","20.9","522","25"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001409","의왕초등학교","02","공립","N","","190","190","190","190","190","190","21.5","969","45"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001410","태을초등학교","02","공립","N","","190","190","190","190","190","190","18.4","423","23"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001413","흥진초등학교","02","공립","N","","190","190","190","190","190","190","21.5","538","25"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001498","감정초등학교","02","공립","N","","190","190","190","190","190","190","22.1","860","39"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001499","개곡초등학교","02","공립","N","","190","190","190","190","190","190","22.9","160","7"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001501","고창초등학교","02","공립","N","","190","190","190","190","190","190","21.2","700","33"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090001502","고촌초등학교","02","공립","N","","190","190","190","190","190","190","20.9","564","27"
